id	date_of_pay	sum	ITN	contactor	payment for completed work	contract	object
		500000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		258807,93	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1500000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		344587,73	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		200000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		700000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		50937,09	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		681096,07	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		482393,14	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1699979,42	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		681642,98	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1818357,02	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1500000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1509231,45	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1000000,00	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1479726,60	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1179238,10	7806564446	ИСУ	1	1-TERRA-37	TERRA_1
		1 000 000,00	7811060998	БЕККЕР	0	1-TERRA-41	TERRA_1
		3 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		1 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		2 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		1 168 651,96	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		4 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		1 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		2 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		6 659 996,86	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		1 000 000,00	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		4 372 539,76	7811060998	БЕККЕР	1	1-TERRA-41	TERRA_1
		6 000 000,00	7811060998	БЕККЕР	0	2-TERRA-51	TERRA_2
		2 000 000,00	7811060998	БЕККЕР	1	2-TERRA-51	TERRA_2
		5 069 234,72	7811060998	БЕККЕР	1	2-TERRA-51	TERRA_2
		24 061 200,00	7805223443	ОТИС ЛИФТ	0	B7NO-4169/4188	TERRA_1
		24 061 200,00	7805223443	ОТИС ЛИФТ	0	B7NO-4169/4188	TERRA_1
		19 699 200,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		6 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		1 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		1 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		2 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		400 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		542 800,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		2 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		1 000 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		900 000,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		478 080,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		1 563 600,00	7805223443	ОТИС ЛИФТ	0	B7NO-3227/3242	TERRA_2
		1 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		654 105,86	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		598 579,18	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 401 420,82	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		2 300 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 220 356,01	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		374 913,15	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		500 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		300 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		150 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		236 435,85	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		3 209 061,89	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		2 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 300 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 500 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		116 130,75	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		120 640,04	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		1 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		2 000 000,00	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1
		805 173,40	7814669700	РОДЕО СПБ	1	1-TERRA-45	TERRA_1